stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,6.42,0,0,0,0,0,0,5.35,4.28,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,14.72,0,0,0,1.34,0,0,6.69,18.74,1.34,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0,0.32,0.32,5.44,0.32,0.32,0.32,97.26,0,2.56,24.96,0,1.92,0.96,0.96,10.24,1.28,0.64,0,0,0.64,0.32,0,0,0,0,0.64,0.32,0,0.64,0.96,0.64
22Month,1.09,1.09,0,4.92,0,0,2.19,144.86,0.55,6.56,0.55,0,0.55,0,0.55,41,1.09,0,0.55,0.55,0,0,0.55,0.55,0.55,0,0,0.55,0.55,0,0,1.09
