stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,62.91,1.34,0,0,0,1.34,0,0,1.34,1.34,0,0
3Month,0,1.28,0.32,0.32,0,5.44,1.92,0,1.28,0.96,23.36,0.32,0.32,0.32,0.32,0,0.32,0.96,0,0,0.32,0
22Month,0.55,0,0,0.55,1.09,20.77,0.55,1.09,0,0,12.03,1.09,0.55,0.55,0,0,0,1.09,0,0,0,1.64
