stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,28.6,4.09,0,0,0,0,0
72hpf,0,0,0,7.49,0,0,0,1.07,0,4.28,0,2.14,3.21,1.07,0,4.28,0,0,0
21Day,0,0,2.68,2.68,2.68,1.34,0,0,4.02,2.68,1.34,0,8.03,8.03,1.34,1.34,0,0,0
3Month,0.32,0.32,0,0,0,0,0.32,0,0.96,0.32,0.32,0,0,0,0,0,0.96,0.32,0.32
