stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,26.74,0,0,0,0,2.14,0,0,0,0,0,7.49,1.07,1.07,2.14,0,0,57.77,14.98,99.49,0,0,3.21,0,0,4.28,0,1.07,0,0,0
21Day,0,0,0,4.02,17.4,1.34,0,1.34,0,1.34,0,0,0,1.34,6.69,0,4.02,2.68,0,0,0,1.34,13.39,123.15,0,0,0,2.68,0,1.34,1.34,53.54,0,0,0
3Month,0,0.64,0.32,3.52,2.56,0,0.64,0,5.12,32.31,0,3.52,5.76,0.32,43.83,0.32,0.64,6.08,1.92,0.32,0.32,0,0.32,0.96,0,0,0,0.96,0.96,0,0,0.64,0.96,0.96,0.64
22Month,0,1.64,1.09,6.56,1.64,0,0.55,0,1.64,55.21,100.58,14.76,3.28,0,49.2,0,2.19,11.48,3.28,0,0,0,0,0.55,0.55,0.55,0,0.55,0.55,0.55,0,0.55,0,0,1.64
