stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,8.17,0,0,0,16.35,93.99,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,11.77,0,0,0,0,0,0,4.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,0
3Month,1.28,0.32,0.32,18.24,0.96,0.32,0.32,2.56,3.84,0,37.11,4.48,1.28,10.56,0.96,8.64,3.84,5.44,1.6,0,1.28,0.32,1.28,0.64,0.64,0,0.32,1.92,13.12,0,0,0.96,3.84,2.24
22Month,0.55,3.83,1.09,13.12,1.64,0,0,2.19,15.31,6.56,175.48,2.73,2.19,20.23,0.55,3.83,9.29,11.48,0,4.37,1.64,0,0.55,2.19,1.64,1.09,0,1.09,3.83,1.64,0.55,0,0,4.92
