stage,Cardiomyocyte,Endothelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,4.02,1.34,0,0
3Month,0,0.32,0.64,0,0,0,0,0.32,0,0,0,0.32,0.32
22Month,0,0,0.55,2.73,0.55,0.55,1.09,0,0.55,0,0,1.09,0
