stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,16.35,0,0,0,0,4.09,0,0,0,0
72hpf,10.7,0,0,0,0,25.67,0,2.14,2.14,1.07
21Day,36.14,0,0,1.34,4.02,13.39,1.34,0,0,0
3Month,1.92,0.32,0.32,0,0,1.6,0,0,0,0
