stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,32.69,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,11.77,0,0,4.28,1.07,0,1.07,0,0,0,0,0,0,4.28,3.21,5.35,5.35,0,0,0,40.65,54.56,0,18.19,0,0,11.77,1.07,0,0,0
21Day,0,0,0,8.03,2.68,0,0,0,0,1.34,0,12.05,0,5.35,1.34,1.34,8.03,0,0,0,13.39,38.82,0,9.37,1.34,0,5.35,1.34,0,0,17.4
3Month,0.96,2.24,0,11.52,0,0,0.32,0.32,0.64,3.2,2.88,1.28,3.2,1.92,1.92,2.56,6.72,0.64,0.64,1.28,0.32,0,0.64,1.6,0.32,3.2,0.96,0,29.76,0.96,16.64
22Month,0,3.28,0.55,1.09,0,0.55,0,0.55,0.55,9.29,0.55,0,1.09,0,0,1.64,3.28,0,0,0,0.55,0,0,0,0,0.55,0,0,3.28,0,1.09
