stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,4.09,16.35,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,2.14,0,6.42,0,0,0,0,0,0,5.35,3.21,2.14,1.07,0,1.07,0,0,1.07,0,0,0
21Day,2.68,2.68,0,0,0,0,0,0,0,5.35,0,1.34,0,0,0,0,1.34,0,0,1.34,1.34,0,1.34,0,0,0,0,0,0
3Month,2.24,6.08,0,0,7.68,0.64,7.36,1.6,0.32,32.63,0.32,0.64,0.96,0.64,0.32,0,8.32,0,0,0,1.6,0.32,0.32,0.64,1.6,0,0.32,0.96,0.96
22Month,1.09,2.73,0,0.55,2.19,0,14.76,0.55,0,45.92,0,0,1.09,0,0,0.55,3.28,0,0,0,0,0,0,0,0.55,0,0,0,0
