stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,44.95,4.09,0,61.3,0,4.09,0,0,4.09,4.09,0,0,0,0,8.17,12.26,20.43,36.78,0,0,0,0,20.43,4331.59,0,0,4.09,0,0,8.17,0,0,4.09,0,0
72hpf,34.23,2.14,0,28.88,3.21,39.58,1.07,0,0,0,0,0,1.07,0,8.56,36.37,6.42,59.91,0,10.7,3.21,0,519.92,4116.56,3.21,1.07,72.75,3.21,0,192.56,5.35,0,3.21,0,0
21Day,13.39,2.68,0,12.05,0,20.08,4.02,0,1.34,0,0,0,9.37,2.68,1.34,14.72,2.68,20.08,0,0,0,2.68,96.37,927.6,1.34,1.34,10.71,21.42,5.35,109.76,2.68,5.35,9.37,0,4.02
3Month,0,0,0.64,6.72,0,0,0,0,0.32,0,7.36,0.32,0,1.6,0,0,0.64,0,0.32,0,0.64,0,1.6,6.08,0.32,0,0,0,4.48,3.52,0,0,0.32,0.96,0.64
22Month,0,0.55,0,4.92,0,0,0.55,0.55,1.64,0,22.96,0,0,1.64,0.55,0,1.09,2.19,0,1.09,0.55,0,1.09,4.92,0,0,0,0,6.56,27.88,1.64,0,1.64,0,0.55
