stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,57.21,482.2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,56.7,7.49,0,22.47,5.35,27.81,0,0,0,0,0,0,0,2.14,0,1.07,0,8.56,52.42,3.21,62.05,0,2.14,3.21,0,5169.23,983.14,10.7,25.67,0,97.35,1.07,0,222.52,1.07,2.14,14.98,0,0
21Day,29.45,1.34,0,30.79,1.34,40.16,0,1.34,0,0,2.68,1.34,0,4.02,0,6.69,2.68,6.69,10.71,8.03,240.94,0,0,12.05,0,1136.41,402.9,1.34,1.34,0,36.14,44.17,0,52.2,8.03,16.06,10.71,0,9.37
3Month,0.64,1.28,0,4.8,0.32,0,0.32,0.32,0.32,0.64,0.96,0,0,6.4,1.92,0,1.92,0.96,0.96,0.96,25.6,4.8,0,1.6,0.32,13.12,2.24,8.96,1.28,0,0.32,0,8.64,3.2,0.32,0,0.32,11.84,3.84
22Month,0.55,1.09,2.19,4.92,0,0,1.64,0,0,1.64,3.83,13.67,0,37.72,2.73,0,1.64,0,0,2.73,51.39,2.19,1.64,4.37,0,21.87,2.73,20.77,3.28,1.09,1.64,0.55,18.59,7.11,0,0,0,0,2.73
