stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,40.86,310.57,4.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,25.67,3.21,0,6.42,2.14,12.84,0,0,0,0,0,0,0,5.35,24.61,2.14,31.02,0,2.14,2.14,1797.25,376.57,1.07,8.56,23.54,0,1.07,60.98,1.07,4.28,1.07,0,0,0
21Day,5.35,1.34,0,9.37,2.68,6.69,0,0,0,0,0,2.68,0,0,5.35,1.34,20.08,0,0,0,286.45,85.67,0,2.68,9.37,8.03,1.34,18.74,1.34,1.34,6.69,2.68,0,1.34
3Month,0,0.32,0,4.48,1.28,0,1.6,0.32,0,3.84,0.32,0.64,0.64,0,0.32,0.32,5.44,3.52,0,0.96,4.48,2.88,0.64,3.2,0,0.96,10.56,0.32,0,0,0.32,41.27,12.8,0.64
22Month,0,0,1.64,2.19,0.55,0,0.55,1.09,0,14.76,0,0,0.55,0,0.55,0.55,2.73,0,0,0,1.64,0,0.55,5.47,0,0,18.59,1.64,0,0,0.55,3.83,0,1.09
