stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,16.35,4.09,16.35,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,5.35,5.35,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34
3Month,0.32,0.32,0,0.32,0,0,3.2,0.96,0.96,0,0.32,0,0,0.64,6.4,0.32,4.16,0
22Month,0,0,0,0,0.55,1.09,6.56,1.09,0.55,0,1.64,0,0,0,0,0,0,0.55
