stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,6.42,0,1.07,3.21,0,3.21,0,1.07,11.77,2.14,1.07,1.07,2.14,0,1.07,1.07,0,0
21Day,0,0,6.69,0,1.34,0,0,0,1.34,0,0,1.34,1.34,0,0,0,5.35,1.34,2.68,0,2.68,1.34,2.68,0,0,0,0
3Month,0,0.32,8.32,0.32,0.32,0.96,0.64,47.35,0,0,0.64,0.96,0.64,0.32,0.32,1.28,0.32,0,0.64,0,0,1.28,7.04,0.32,0,8.32,0.96
22Month,0,0,8.2,0,0,1.09,1.09,43.19,1.64,0,0,0.55,0,0,0.55,0,0,0,2.19,0.55,0,0,4.92,0,0,0.55,0.55
