stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,20.43,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,6.42,5.35,0,0,0,0,0,0,0,0,29.95,0,1.07,0,0,0,0,0,0,0,0,0
21Day,4.02,45.51,0,0,0,0,0,2.68,0,0,10.71,0,1.34,0,0,0,1.34,0,1.34,1.34,0,0
3Month,0,42.87,0.32,0.32,0.32,0,1.6,0.32,0.32,0.32,24.64,0,0.32,0.32,0.64,0.32,0.96,0.64,0,0,0.32,0.64
22Month,0,0.55,0,0,0,0.55,2.73,0,0,0,2.19,1.09,0,0,0,0,0,0,0,0,0,0
