stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,3.21,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,1.07,0,0,3.21,0,0,0,0,0
21Day,0,0,0,2.68,0,5.35,0,1.34,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,1.34,2.68,0,0,1.34,0,0,0,0,0
3Month,0.32,0.96,0.96,5.76,0.32,0,0.32,0.32,0.64,6.72,59.83,0.64,0.64,2.56,0.64,3.2,1.28,1.28,0.32,0,0.32,0.32,0.32,0,0.64,0.32,0,1.28,3.2,0,24.64,2.88
22Month,0,0,0,0.55,0,0,0,0,0,3.28,7.65,0.55,0.55,0.55,0,0,0.55,0.55,0,0.55,0,0,0,0,0.55,0,0,0,0,1.09,0,0.55
