stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,0,8.17,0,4.09,69.47,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,2.14,0,4.28,0,1.07,0,0,1.07,0
21Day,2.68,1.34,0,0,0,1.34,2.68,1.34,4.02,0,1.34,1.34,2.68,1.34,1.34,0,0
3Month,0,0,0.32,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55
