stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,40.86,0,0,0,0,0,8.17,0,0,0,0,0,0,8.17,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,2.14,1.07,0,0,0,0,0,0,0,0,5.35,0,5.35,0,0,0,0,0,0,0,33.16,0,0,1.07,0,0,1.07,0,0,0
21Day,0,5.35,0,0,0,0,0,0,5.35,0,2.68,0,5.35,0,13.39,0,0,0,0,0,4.02,0,41.49,4.02,0,1.34,1.34,1.34,0,0,0,0
3Month,0.32,4.8,0,0,0.64,0.64,0,0,43.83,0.32,1.6,0.32,6.08,0.64,8.64,0.64,0.32,0,0.64,0.32,0,0.32,1.28,0.96,8.32,0,0,0,0,0.96,8,0.32
22Month,2.19,3.28,0,0,0,0,0.55,0,51.39,0,1.09,0.55,1.09,0,2.73,0,0.55,0.55,0,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0
