stage,Hepatocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
72hpf,0,0,14.98,2.14,0,1.07
21Day,0,0,9.37,0,1.34,0
3Month,0.96,0,0,0,0,0
22Month,8.75,0.55,0,0,0,0
