stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,T_cell
21Day,0,0,2.68,0,0,0,0,1.34,0,0,1.34,0
3Month,0,0,0,0,0,0,0.32,0,0,0.32,0,0.64
22Month,0.55,0.55,0,0.55,0.55,3.83,0.55,0,0.55,0,0.55,0
