stage,Endothelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,1.28,0.32,0.64,0.96,0.64,0.96,0.64,0.32,0,17.92,0.32,0.32
22Month,8.75,0,0.55,22.41,0,1.09,1.09,0,0,1.64,0,0.55
