stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,12.26,36.78,0,0,0,0,8.17,130.76,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,10.7,0,0,3.21,1.07,8.56,0,1.07,0,0,0,0,0,0,3.21,22.47,0,16.05,0,4.28,0,0,14.98,34.23,1.07,0,6.42,0,0,5.35,1.07,0,3.21,0,0,0
21Day,6.69,0,0,9.37,1.34,21.42,0,8.03,0,1.34,13.39,1.34,2.68,4.02,1.34,5.35,4.02,14.72,0,0,4.02,0,16.06,12.05,0,0,10.71,10.71,2.68,4.02,1.34,1.34,0,0,0,2.68
3Month,0.64,1.28,1.28,9.92,0.32,0,1.28,0.64,1.28,7.68,79.35,7.04,1.6,9.6,1.6,3.52,5.12,5.44,0.64,0,5.12,2.88,0.96,0,1.28,0,0.32,3.84,68.79,0.64,0,0,0.32,4.16,58.87,6.08
22Month,0,1.09,0,2.73,0,0,0,0.55,1.09,5.47,74.35,1.09,1.64,6.56,0,0.55,1.09,1.09,0,1.64,1.09,0,0.55,0.55,1.64,3.28,0,1.64,38.81,0.55,0,0,0.55,0,0,1.64
