stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,2.14,0,2.14,0,17.12,6.42,0,2.14,0,2.14,0,0
21Day,2.68,0,1.34,1.34,0,0,0,0,0,1.34,1.34,0,0,0,1.34,13.39,1.34,0,1.34,0,0,0,1.34
3Month,0,0.32,0.32,0,0,0.32,0,2.88,0.64,0,0.64,0.64,0.32,0.32,0,0.96,0,0,0,0.32,0,0.32,0
22Month,0.55,0,1.09,0,1.09,0,1.09,27.33,0.55,0.55,2.19,0,1.09,1.09,0,0.55,0,0.55,0,0.55,0,0,0.55
