stage,Epithelial_cell,Hepatocyte,Macrophage,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,1.07,1.07,0,0
21Day,0,0,0,0,0,1.34,0
3Month,0,0,0.32,1.92,0,0,0.64
22Month,0.55,1.09,0,0,0,0,0
