stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,899.01,0,0,77.64,12.26,0,0,0,0,0,0,0,0,0,0,8.17,4.09,40.86,0,0,0,4.09,384.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,358.38,2.14,0,3.21,1.07,3.21,1.07,0,0,0,0,0,0,0,0,7.49,0,12.84,1.07,0,0,547.73,14.98,0,0,58.84,0,1.07,3.21,101.63,59.91,0,0,0,0
21Day,243.61,1.34,0,9.37,0,6.69,1.34,0,0,0,0,2.68,2.68,0,0,6.69,1.34,16.06,0,0,0,66.93,10.71,0,0,42.83,4.02,0,0,145.9,174.01,0,0,0,0
3Month,0.32,0.32,0,4.16,0,0,0,0.64,1.6,0.64,15.36,0.96,0.64,4.48,22.08,2.88,1.28,4.48,0,0.64,1.28,0.64,0,0.64,0,0.32,0,16,0,0.64,0.32,0,0.32,9.92,0.96
22Month,0,0.55,0.55,4.92,0,0,0.55,0,6.56,2.19,62.87,2.73,0.55,4.92,1.09,1.09,2.19,3.83,2.73,0,0,0,0,0,1.09,1.64,1.09,15.85,1.09,48.11,0,0.55,0,0,2.73
