stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,4.09,0,0,0,4.09,12.26,16.35,12.26,187.97,0,0,0
72hpf,3.21,0,0,0,0,1.07,2.14,0,0,13.91,8.56,1.07,1.07,0
21Day,1.34,0,1.34,0,2.68,0,0,0,10.71,5.35,2.68,6.69,0,0
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.32
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
