stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,12.26,0,0,4.09
72hpf,4.28,0,0,0,0,0,1.07,0,1.07,75.96,1.07,3.21,0,0
21Day,0,1.34,0,0,0,0,0,0,0,6.69,0,1.34,0,0
3Month,0,0,0,0,0.64,0.32,0,0.32,0,0,0,0,0.32,0
22Month,0,0,0.55,0,1.09,0,0,0,0,3.28,0,0,2.19,0
