stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,16.35,8.17,24.52,8.17,4.09,0,0,0,4.09,0,12.26,49.04,273.79,0,0,49.04,1426.16,0,32.69,0,0,0,0
72hpf,8.56,2.14,10.7,6.42,2.14,1.07,0,0,0,8.56,17.12,1.07,35.3,1.07,1.07,60.98,158.33,0,24.61,3.21,0,11.77,0
21Day,14.72,1.34,14.72,1.34,4.02,2.68,4.02,5.35,1.34,4.02,2.68,0,44.17,0,2.68,8.03,54.88,0,16.06,0,0,10.71,2.68
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.32,0,0
22Month,0,0,1.09,0,0,0.55,2.19,0,0,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0,0
