stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
72hpf,0,0,1.07,0,0,0,3.21,0,0,32.09,2.14,0,0
21Day,0,0,1.34,0,0,0,0,0,0,21.42,1.34,1.34,0
3Month,0,0.32,0,0,1.28,0,0,0,0.32,0,0,0,0
22Month,1.09,0,0,2.19,4.37,1.09,0,1.64,0,0,0,0,1.09
