stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia
3Month,0.32,1.28,1.6,0.32,0.32,5.12,0,0,0,0,0
22Month,0,1.64,1.09,1.09,0,15.31,0.55,0.55,0.55,1.09,0.55
