stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,4.09,65.38,0,0,0,0,0,0,0
72hpf,0,0,3.21,3.21,0,0,0,0,0,0,0,0,3.21,0,6.42,0,0,0,27.81,11.77,8.56,0,0,3.21,0,0,0
21Day,5.35,1.34,4.02,0,1.34,1.34,0,0,0,4.02,0,1.34,1.34,0,16.06,0,0,0,8.03,6.69,5.35,0,0,1.34,2.68,0,0
3Month,0,0.96,6.08,0,0,0.96,0,2.24,0.96,0.32,3.2,0.96,0.96,0.96,1.6,0.32,0.32,0.32,0.32,0,0.32,0,3.84,0,0,6.08,1.6
22Month,0,1.09,1.64,0,0,1.64,0,6.01,0.55,0,1.64,0,0,4.92,0,0.55,0.55,0,0,0,0,0.55,1.64,0,0,0,0.55
