stage,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_progenitor_cell
24hpf,0,0,0,0,8.17
72hpf,0,0,0,1.07,0
22Month,7.65,2.73,0.55,0,0
