stage,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0
3Month,0,0.64,0.32,0,1.28,0,0,0.32,0,0,0,0,0,0,0.32,0.32
22Month,0.55,0,0.55,0.55,8.2,1.09,0.55,0,0.55,0.55,0.55,0,0,0.55,0,1.09
