stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
21Day,1.34,0,6.69,4.02,0,1.34,0,0,0,1.34,6.69,0,2.68,2.68,48.19,1.34,0,0,1.34,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,12.48,0,0.32,0,0.64,0,2.56,1.6,1.28,0.96,0.32,0,90.55,2.24,0.64,0.32,0,0,0.32,0.96,0.64,0,0.96,0.32,2.88
22Month,0,1.09,1.64,0,0,0,0,1.09,1.09,0,0,0,0,0,20.23,0,0,0,0,0,0,0,0,0,0,0,1.09
