stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,8.56,13.91,7.49,0,0,1.07,0,0,0,0,0,1.07,746.71,3.21,7.49,0,0,0,29.95,22.47,0,0,7.49,1.07,0,3.21,0,0,0,0,0
21Day,6.69,0,0,25.43,0,17.4,2.68,1.34,1.34,0,2.68,0,1.34,5.35,0,808.47,5.35,10.71,0,0,0,9.37,9.37,0,0,5.35,5.35,0,0,0,6.69,0,0,2.68
3Month,0,0.64,0.32,10.24,0.64,0,0,0.64,1.28,0,9.6,1.6,0,2.24,0.64,95.02,1.28,0.32,0.32,0.32,0.96,0,0.32,0,0,0.32,1.28,3.2,0,0,0,0.32,0.32,2.24
22Month,0,2.19,0.55,6.01,0,0,0,1.64,6.01,1.09,31.16,1.64,0,3.28,0.55,151.97,2.19,3.28,0,0.55,0.55,0,0,1.09,0.55,0,0,0,0,0.55,0,0.55,0,1.09
