stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,1.07,0,0,1.07,1.07,0,25.67,77.02,0,0,13.91,0
21Day,0,1.34,0,0,0,1.34,0,1.34,6.69,13.39,1.34,0,4.02,0
3Month,0,0,0,0.64,0,0,0,0,0,0,0,0,0,1.92
22Month,0,0,0,3.83,0.55,0,0,0,0,0,0,0.55,0,0
