stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,32.69,0,4.09,0,0,0,0,4.09,12.26,0,49.04,0,0,12.26,792.76,0,0,12.26,0,0,0,0,0,12.26,0,0,0
72hpf,4.28,1.07,0,1.07,1.07,2.14,0,0,0,0,2.14,8.56,0,10.7,0,0,78.09,84.51,0,0,8.56,0,0,2.14,0,0,1.07,0,0,0
21Day,5.35,1.34,5.35,5.35,1.34,6.69,0,1.34,1.34,4.02,1.34,4.02,2.68,26.77,0,4.02,45.51,45.51,0,1.34,14.72,5.35,0,5.35,0,1.34,0,0,0,1.34
3Month,0,0.96,0,3.2,0,0,0.32,1.28,0.32,0.96,0.32,0.64,0,0.64,0.32,0,0,0,0.32,0.32,0,0,1.6,0.64,0,0,0,0.32,0.64,0.32
22Month,0,0,0,1.09,0,0,0.55,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0.55,0,0.55,0,0,0
