stage,Epithelial_cell,Erythrocyte,Hatching_gland,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,4.09,4.09,4.09,0,0,12.26,0,0
72hpf,1.07,2.14,0,6.42,0,3.21,1.07,4.28,0,0
21Day,1.34,1.34,0,2.68,0,0,1.34,1.34,0,0
3Month,0,0,0,0,0.32,0,0,0,0.32,0.32
