stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,4.09,4.09,0,0,0,8.17,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,16.05,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,4.28,0,38.51,0,5.35,0,0,13.91,7.49,1.07,0,108.05,0,0,0,5.35,2.14,2.14,0,0,0
21Day,6.69,0,0,14.72,1.34,6.69,0,0,0,0,0,0,17.4,0,6.69,0,1.34,6.69,2.68,373.45,0,0,6.69,0,22.76,12.05,0,0,216.84,9.37,0,0,4.02,8.03,6.69,0,0,2.68
3Month,0.64,0.96,0.96,9.6,0.32,0,2.24,0,0.32,1.28,4.48,0.64,271.64,3.2,0.96,8.64,0.96,7.68,2.88,54.07,2.88,0,5.76,1.28,14.72,0,0,0,1.92,5.76,2.56,0.32,0.32,0,2.88,10.24,1.6,1.28
22Month,0,2.19,1.09,7.11,0,0,2.19,0.55,0,1.09,11.48,2.19,968.67,3.28,0.55,6.01,0,2.19,4.37,13.12,0,13.67,2.19,0,1.64,0,1.64,0.55,0.55,1.64,1.64,0.55,0,0,0.55,0.55,0,1.64
