stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,8.17,0,0,0,0,0,0,0,0,0,20.43,0,0,8.17,0,0,0,0,0,286.05,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,8.56,0,21.4,50.28,3.21,0,0,0,0,0,0,0,7.49,8.56,0,3.21,0,1.07,1.07,0,128.37,60.98,7.49,0,9.63,0,1.07,47.07,2.14,0,0,0,0
21Day,4.02,9.37,0,26.77,32.12,2.68,0,0,0,0,0,0,0,1.34,12.05,0,13.39,0,0,1.34,0,44.17,16.06,9.37,2.68,2.68,2.68,2.68,12.05,4.02,1.34,0,0,0
3Month,0,0.64,0.64,103.02,3.2,0,0.32,2.88,3.2,0,25.28,5.44,9.28,13.44,3.2,4.48,6.4,0.96,0.32,1.28,3.52,16.32,0,9.92,1.92,0.96,1.92,71.67,0.64,0,1.6,1.28,633.5,4.8
22Month,0.55,3.28,0.55,67.24,1.09,0,0.55,1.64,0.55,1.09,34.44,2.19,3.83,1.64,2.19,1.64,11.48,0,1.09,1.09,1.09,7.65,0.55,11.48,0.55,0.55,0.55,62.32,0,0,0,0,3.28,1.64
