stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,2.14,5.35,0,0,0,0,1.07,12.84,1.07,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,2.68,0,0,0,4.02,4.02,0,0,0,0,0,0,0,0,1.34
3Month,0,0.64,0,10.88,0,2.56,6.72,0,24.32,3.84,0.32,6.4,1.92,1.92,3.84,2.56,0.64,0.64,1.28,0.32,0.32,0.32,0.96,0.96,6.08,0.32,0,0.96,13.76,1.6
22Month,0,0,0.55,3.83,0,0,8.2,0.55,36.63,1.64,2.19,3.28,0.55,1.09,1.64,1.64,0,0,0,1.09,0,2.19,0,0,1.64,0,0,0,0,1.09
