stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,1.07,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,1.34,0,1.34,1.34,4.02,0,1.34,0,2.68,1.34,0,0,0,0,0,1.34,0
3Month,0.64,3.52,0,0.32,0.32,0.64,4.16,7.04,2.24,0.32,0.64,2.56,3.84,1.92,0.32,0.32,0.32,0.32,0,0,0,0.64,2.56,0,0,2.24
22Month,1.64,1.64,0,0,0,0,6.56,11.48,0.55,0.55,1.64,1.09,1.09,0.55,0,0,0,0.55,0,0.55,0,0,0,0.55,0,0.55
