stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,0,0,0,237.01,0,0,0,0,171.63,40.86,0,8.17,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,54.56,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,80.23,210.75,3.21,4.28,0,0,0,0,17.12,7.49,2.14,0,0,3.21,0,0,4.28,0,1.07,0,0,0
21Day,4.02,0,0,70.94,2.68,10.71,0,1.34,0,0,2.68,0,0,2.68,0,0,0,214.17,226.21,1.34,4.02,0,0,0,0,16.06,4.02,0,0,0,1.34,1.34,0,0,0,0,0,0,0
3Month,0,2.24,0.96,258.84,0.32,0,0.96,0,0.64,2.88,3.84,0,0,20.8,6.72,1.28,10.88,875.7,39.03,8.32,5.76,2.24,0.32,1.92,2.56,6.72,0.32,1.28,1.28,0,2.56,4.48,6.4,0,0.32,0.32,4.8,3.2,6.4
22Month,0,1.09,0,117.53,0.55,0,0.55,0,0,0,2.19,0.55,0,28.43,0.55,0,1.09,376.1,22.96,3.28,3.28,0,1.64,1.64,0,6.56,0,0.55,0.55,4.92,0.55,1.09,6.01,1.09,0,0,0,0,0
