stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,4.09,0,0,16.35,0,0,0
72hpf,0,1.07,1.07,7.49,0,0,0,1.07,0,0,2.14,0,4.28,1.07,0,1.07,0
21Day,2.68,0,9.37,2.68,0,0,0,0,5.35,0,4.02,0,0,1.34,0,0,0
3Month,0,0,0,0,0,0,0.64,0,0.32,0,0,0.32,0,0,0.32,0,0.32
22Month,0,0.55,1.09,0,0.55,0.55,2.73,0,1.09,0,0,0,0,0,0,0,0
