stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,16.35,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,65.38,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,7.49,7.49,0,2.14,0,2.14,0,1.07,8.56,5.35,0,2.14,0,2.14,1.07,0,0
21Day,1.34,0,10.71,2.68,0,0,0,0,0,0,1.34,0,0,0,5.35,0,4.02,0,0,0,0,2.68,2.68,1.34,1.34,0,4.02,0,1.34,0
3Month,0,0.32,7.04,0,0,0.32,0.64,0.64,0,0,26.24,0.96,11.52,0.64,1.6,0.32,0.32,0.64,0,0.32,1.6,0,0,0,0,1.28,16.96,0,0,2.56
22Month,0,0,1.64,0,0.55,0,0,0,1.09,0,25.15,0,4.37,0,0,0.55,0,0,1.09,0,0,0,0,0,0,0,5.47,0,0,0
