stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,5.35,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,30.72,5.76,0.64,2.24,2.56,0,7.04,3.52,388.1,2.24,4.16,1.6,4.48,0.64,0,0.64,0.32,0.32,0,0.64,0.96,0,3.2,3.2,0,0,0.32,1.28,5.44,2.88
22Month,0,0.55,147.6,4.92,0,6.56,2.73,2.19,47.01,3.28,611.71,0,1.09,2.19,3.28,0,1.09,1.09,0,0,0,1.09,0,0,1.09,2.19,0.55,0.55,0,1.64,0.55,2.73
