stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,98.07,0,0,0,0,0,0,0,4.09,8.17,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,64.19,1.07,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,1.07,0,0,1.07,0,0
21Day,0,53.54,0,0,0,0,0,0,0,0,4.02,0,0,5.35,1.34,0,2.68,0,0,0,2.68,0
3Month,0.32,58.55,2.24,0.96,0.64,0,1.6,1.28,1.28,0,4.16,0.32,0.32,0,0,0.32,0,0.32,1.28,0,0,0.96
22Month,1.09,15.31,1.09,0,1.64,0.55,12.03,1.09,0,0,2.19,1.09,0,0,0,0,0,0,0.55,0,0,1.64
