stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,1.07,8.56,1.07,0,0
21Day,0,0,0,0,0,2.68,0,0,0
3Month,0.64,0.32,0,0.32,0,0,0,0.32,0.32
22Month,0,0.55,1.64,0,0,0,0,0,0.55
