stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,4.09,0,0,12.26
72hpf,0,0,1.07,1.07,0
21Day,1.34,0,0,0,0
