stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.96,0,0.32,0.32,1.6,0.64,0,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,0,0.64
22Month,1.09,1.09,0,1.09,7.11,0.55,0.55,1.64,0.55,0,0.55,0.55,0.55,0,0,0,0.55,0.55
