stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,T_cell
72hpf,0,0,0,0,0,1.07,0,1.07,0,0,0
21Day,5.35,1.34,0,0,0,4.02,0,1.34,1.34,1.34,2.68
3Month,0.32,0,0.32,0.64,0.96,0,0.32,0.32,0,0,0.32
