stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,12.26,0,8.17,0,0,0,4.09,0,0,4.09,0,16.35,0,0,4.09,73.56,4.09,0,0,0
72hpf,1.07,1.07,3.21,0,2.14,0,0,0,1.07,0,0,3.21,1.07,0,60.98,17.12,9.63,0,0,0
21Day,4.02,0,5.35,1.34,4.02,1.34,0,1.34,0,0,1.34,6.69,0,1.34,32.12,14.72,5.35,4.02,0,1.34
22Month,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0
