stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0
3Month,2.88,2.56,0.64,7.04,2.24,2.88,0.96,1.28,0.96,1.28,10.56,30.4,5.12,1.28,0.32,1.6,0.32,0.32,0.32,0.32,0.64
22Month,0,0,0,1.09,0,6.01,0.55,0,0,0,3.28,2.19,0,0,0,0.55,0,0,0,0,0
