stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,4.09,0,0,0,0,4.09,12.26,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,1.07,0,0,0,0,0,0,0,1.07,3.21,0,2.14,0,0,2.14,0,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,2.68,1.34,2.68,0,0,2.68,0,0,1.34,0,0,0,0,0,1.34
3Month,0,0.32,0,7.04,0.64,1.92,0.64,0,7.36,0.64,4.16,0,2.24,1.6,0.64,0.96,0.32,0,0,0.32,0,0.32,2.24,0,0.64,4.16,0.96
22Month,0,0.55,0.55,2.73,0,1.09,0.55,0,15.85,0,4.37,0,0,1.64,1.64,0,0,0,0,0.55,0,0,1.09,0,0,0,0
