stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,8.17,0,57.21,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,3.21,3.21,1.07,2.14,0,0,0
21Day,0,2.68,0,0,0,2.68,0,0,1.34,0,0,0,0,0
3Month,0,3.2,0.64,1.28,0.64,0.32,0.96,0.32,0,0,0,0.32,1.28,0.32
