stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,0,3.52,0,0,0.64,0.32,0,3.2,0.32,0.32,0.96,0.32,0.96,0.64,0,0.64,0.32,0.32,0,0,0,0.32,0.96,34.87,12.16,0.32
22Month,0,0.55,0,0,0,0,0.55,1.09,10.93,0,0,0.55,0,0,0.55,0.55,0,0,0,0.55,0,6.01,0,0,17.49,0.55,0.55
