stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,4.09,0,8.17,0,0,0,935.79,40.86,0,0,0,0,0,0,0,4.09,0,0
72hpf,2.14,1.07,0,9.63,5.35,5.35,0,2.14,0,0,0,0,0,0,1.07,23.54,2.14,19.26,0,0,0,810.9,23.54,1.07,17.12,35.3,1.07,0,8.56,1.07,27.81,0,0
21Day,8.03,1.34,1.34,18.74,1.34,10.71,0,0,0,0,6.69,1.34,1.34,4.02,4.02,13.39,1.34,13.39,0,0,5.35,477.86,13.39,4.02,32.12,16.06,14.72,1.34,5.35,5.35,13.39,0,4.02
3Month,0.32,2.88,0,6.4,0.32,0,1.28,0.64,0.64,0,7.36,0.64,0,0.32,0,1.92,1.92,1.28,0,0,1.28,17.92,0,1.28,72.31,0.96,0.32,21.76,11.84,0,1.28,18.24,0.64
22Month,0.55,1.09,0,2.73,0.55,0,0,2.19,0,0,18.59,0,0,2.19,0,0,1.64,3.83,0.55,1.09,0.55,25.69,0.55,2.73,145.41,0,0,12.57,28.43,0,0,0,1.64
