stage,Cardiomyocyte,Goblet_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,2.14,0,0,0,0,0,0,2.14,2.14,0,1.07
21Day,0,0,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0,0.32,0,0.32,0,0,0.32,0,0,0.64,0
