stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,61.3,0,53.12,0,0,0,0,0,0,8.17,0,0,0,0,4.09,8.17,44.95,192.06,0,0,0,0,73.56,245.18,0,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,8.56,27.81,0,16.05,27.81,0,2.14,0,0,0,0,0,0,1.07,0,8.56,36.37,1.07,52.42,0,1.07,3.21,1.07,116.61,81.3,0,1.07,0,36.37,3.21,5.35,13.91,1.07,0,0,0,0
21Day,6.69,20.08,1.34,26.77,147.24,0,6.69,0,1.34,0,0,0,1.34,9.37,0,1.34,8.03,4.02,44.17,0,0,2.68,1.34,44.17,29.45,1.34,4.02,0,24.09,1.34,10.71,0,2.68,0,0,1.34,8.03
3Month,1.6,16,2.24,106.22,0,2.56,2.56,7.68,58.23,0.96,0,74.87,28.8,8.32,44.47,6.4,47.03,50.55,39.99,12.16,0.96,6.72,3.52,3.84,1.92,7.04,1.92,0,0.96,3.52,240.92,1.28,0,0.64,5.12,19.52,48.31
22Month,0.55,67.79,8.2,50.29,0,3.28,8.75,9.29,56.31,33.35,0,259.11,10.39,12.57,67.79,2.19,15.31,55.21,51.93,1.64,15.85,7.65,1.64,3.28,0,6.01,2.73,697.53,0,1.09,88.56,4.92,1.09,0.55,0,0,32.25
