stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,8.17,4.09
72hpf,0,1.07,0,1.07,0,5.35,3.21,1.07
21Day,1.34,1.34,1.34,0,2.68,2.68,2.68,0
