stage,Goblet_cell,Hepatocyte,Ionocyte,Neural_progenitor_cell,Smooth_muscle_cell
72hpf,0,0,0,1.07,0
21Day,0,0,0,1.34,0
3Month,0,0.32,0.32,0,0.32
22Month,0.55,0.55,0,0,0
