stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,1.34,1.34,0,0,0,0,5.35,0,0,0,0,0,0,0
3Month,2.24,0.32,2.56,7.68,0,0,0.96,0.64,1.92,1.92,0,0.32,0,0.32,2.88,0,0.32,0.96,0.32
22Month,0,0,0,1.09,0.55,0,0,0,1.09,0,0,0,0.55,0,0,0.55,0,0,0
