stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,8.56,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,18.74,0,1.34,1.34,0,4.02,0,1.34,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,0.96,16.64,0.96,0,1.28,2.24,0,312.59,1.92,0,4.8,2.88,4.8,1.6,2.88,0.64,0.64,0.32,1.28,0,2.24,0.32,0,4.8,1.28,0,5.12,0.96
22Month,0,0.55,0.55,3.83,0.55,0.55,1.09,1.64,6.56,297.93,1.09,0,2.19,0,1.09,1.64,0,0.55,20.23,0,0,0,1.64,0.55,0,0.55,0.55,0.55,0,0.55
