stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,4.28,0,0,0,9.63,0,4.28,0,0,0,0
21Day,0,0,1.34,2.68,1.34,1.34,0,1.34,0,1.34,0,0,0,0,0,2.68,0,0,0,9.37,2.68,2.68,0,0,0,0
3Month,0,0.32,0.96,0,0,0,0.32,4.48,13.12,1.92,0.96,2.24,0.32,0.32,0.96,0.64,0,0.64,0.64,0.64,0,0,0.96,1.28,0.32,0.64
22Month,0,1.09,0,0,0,0.55,1.09,7.11,12.57,1.09,0,2.19,0,1.09,2.19,0,2.19,0,0,0,0,0,0,0.55,0,0
